,Phenotype,Dose,Latency,Dur.Display,N.Display,T.Mirror,Quad
1,LOF,0 mg/kg,123.039,68.903,5,61.77,196
2,LOF,0 mg/kg,13.49,31.592,4,100.26,231
3,LOF,0 mg/kg,113.035,57.068,21,60.67,49
4,LOF,0 mg/kg,14.122,106.527,21,90.57,284
5,LOF,0 mg/kg,50.066,50.669,21,62.87,73
6,LOF,0 mg/kg,41.944,57.566,16,45.57,85
7,LOF,0 mg/kg,66.483,56.533,8,146.38,150
8,LOF,0 mg/kg,300,0,0,65.32,9
9,LOF,0 mg/kg,12.196,61.283,4,3.81,163
10,LOF,0 mg/kg,9.661,86.82,3,107.17,90
11,LOF,2.5 mg/kg,50.087,14.387,4,133.50,140
12,LOF,2.5 mg/kg,300,0,0,87.78,152
13,LOF,2.5 mg/kg,198.842,1.974,3,135.64,79
14,LOF,2.5 mg/kg,273.166,1.338,2,116.23,58
15,LOF,2.5 mg/kg,106.701,61.707,2,122.04,159
16,LOF,2.5 mg/kg,68.845,65.908,13,118.79,135
17,LOF,2.5 mg/kg,300,0,0,134.65,123
18,LOF,2.5 mg/kg,300,0,0,125.46,111
19,LOF,2.5 mg/kg,92.155,12.448,16,119.94,149
20,LOF,2.5 mg/kg,123.039,5.511,5,138.81,148
21,LEO,0 mg/kg,120.836,26.805,14,35.11,33
22,LEO,0 mg/kg,300,0,0,31.62,30
23,LEO,0 mg/kg,10.476,15.852,12,32.41,3
24,LEO,0 mg/kg,6.762,17.273,23,58.95,34
25,LEO,0 mg/kg,298.116,31.419,1,13.51,203
26,LEO,0 mg/kg,34.967,29.021,25,27.18,141
27,LEO,0 mg/kg,180.12,9.181,1,48.23,92
28,LEO,0 mg/kg,300,0,0,19.24,4
29,LEO,0 mg/kg,71.097,0.143,1,10.68,87
30,LEO,0 mg/kg,109.988,10.626,15,23.02,246
31,LEO,2.5 mg/kg,150.293,14.583,6,71.95,113
32,LEO,2.5 mg/kg,24.488,17.465,20,51.53,107
33,LEO,2.5 mg/kg,34.932,14.528,22,85.36,94
34,LEO,2.5 mg/kg,300,0,0,42.01,211
35,LEO,2.5 mg/kg,300,0,0,33.64,163
36,LEO,2.5 mg/kg,61.972,18.176,19,47.55,82
37,LEO,2.5 mg/kg,47.998,9.723,2,75.31,202
38,LEO,2.5 mg/kg,97.861,18.921,4,127.55,93
39,LEO,2.5 mg/kg,201.022,31.275,1,114.65,136
40,LEO,5.0 mg/kg,70.568,26.246,33,85.53,144
41,LEO,5.0 mg/kg,100.216,15.901,25,107.43,253
42,LEO,5.0 mg/kg,76.215,36.258,21,121.84,38
43,LEO,5.0 mg/kg,0.98,7.944,20,153.43,131
44,LEO,5.0 mg/kg,86.95,31.469,31,123.00,100
45,LEO,5.0 mg/kg,61.451,46.067,37,66.89,49
46,LEO,5.0 mg/kg,98.659,18.737,31,166.96,91
47,LEO,5.0 mg/kg,70.542,11.239,32,107.53,147
48,LEO,5.0 mg/kg,134.62,32.904,36,85.09,116
49,LEO,5.0 mg/kg,54.894,53.816,16,112.46,113
50,LOF,5.0 mg/kg,190.88,41.2713,4,55.00,100
51,LOF,5.0 mg/kg,203.705,45.369,10,15.87,161
52,LOF,5.0 mg/kg,300,32.938,1,45.15,139
53,LOF,5.0 mg/kg,216.202,52.685,6,47.82,203
54,LOF,5.0 mg/kg,300,49.306,1,48.08,148
55,LOF,5.0 mg/kg,105.974,41.704,5,45.31,202
56,LOF,5.0 mg/kg,56.433,40.098,6,43.76,117
57,LOF,5.0 mg/kg,72.779,34.609,7,27.88,122
58,LOF,5.0 mg/kg,286.345,49.293,3,42.74,57
59,LOF,5.0 mg/kg,255.058,20.583,3,18.07,225
